"dir";"type_point";"npp";"nph";"camp"
DIRCE;nouveau;"25-25-266-1-099T";"252661099";camp du valdahon
DIRCE;nouveau;"25-25-266-1-101T";"252661101";camp du valdahon
DIRCE;nouveau;"25-25-267-1-100T";"252671100";camp du valdahon
DIRCE;nouveau;"25-26-262-1-173T";"252621173";terrain de manoeuvre de chambaran
DIRCE;visite2;"20-38-266-1-172T";"202661172";terrain de manoeuvre de chambaran
DIRCE;visite2;"20-71-239-1-127T";"202391127";champ de tir
DIRNE;nouveau;"20-10-205-1-069R";"202051069";camp de mailly
DIRNE;nouveau;"25-02-184-1-041T";"251841041";camp de sissonne
DIRNE;nouveau;"25-02-185-1-042T";"251851042";camp de sissonne
DIRNE;nouveau;"25-10-202-1-067T";"252021067";camp de mailly
DIRNE;nouveau;"25-10-203-1-068T";"252031068";camp de mailly
DIRNE;nouveau;"25-10-203-1-070T";"252031070";camp de mailly
DIRNE;nouveau;"25-21-233-1-102T";"252331102";terrain militaire d' epagny
DIRNE;nouveau;"25-51-197-1-050T";"251971050";camp de moronvilliers
DIRNE;nouveau;"25-51-201-1-052T";"252011052";camp de mourmelon (camp de chalons)
DIRNE;nouveau;"25-51-203-1-048T";"252031048";Suippes
DIRNE;nouveau;"25-51-203-1-050T";"252031050";Suippes
DIRNE;nouveau;"25-51-204-1-049T";"252041049";Suippes
DIRNE;nouveau;"25-51-205-1-048T";"252051048";Suippes
DIRNE;nouveau;"25-51-205-1-068T";"252051068";camp de mailly
DIRNE;nouveau;"25-54-242-1-051T";"252421051";Enceinte militaire
DIRNE;nouveau;"25-57-266-1-029T";"252661029";Bitche
DIRNE;nouveau;"25-57-267-1-028T";"252671028";Bitche
DIRNE;nouveau;"25-67-278-1-033T";"252781033";camp dOberhausen
DIRNE;visite2;"20-02-186-1-040T";"201861040";camp de sissonne
DIRNE;visite2;"20-02-187-1-041T";"201871041";camp de sissonne
DIRNE;visite2;"20-10-204-1-068T";"202041068";camp de mailly
DIRNE;visite2;"20-10-205-1-067T";"202051067";camp de mailly
DIRNE;visite2;"20-21-235-1-101T";"202351101";terrain militaire d' epagny
DIRNE;visite2;"20-51-198-1-048T";"201981048";camp de moronvilliers
DIRNE;visite2;"20-51-199-1-049T";"201991049";camp de moronvilliers
DIRNE;visite2;"20-51-202-1-052T";"202021052";camp de mourmelon (camp de chalons)
DIRNE;visite2;"20-51-203-1-051T";"202031051";camp de mourmelon (camp de chalons)
DIRNE;visite2;"20-51-205-1-047T";"202051047";Suippes
DIRNE;visite2;"20-51-205-1-049T";"202051049";Suippes
DIRNE;visite2;"20-51-206-1-048T";"202061048";Suippes
DIRNE;visite2;"20-51-206-1-068T";"202061068";camp de mailly
DIRNE;visite2;"20-51-207-1-047T";"202071047";Suippes
DIRNE;visite2;"20-51-207-1-049T";"202071049";Suippes
DIRNE;visite2;"20-51-207-1-067T";"202071067";camp de mailly
DIRNE;visite2;"20-51-208-1-046T";"202081046";Suippes
DIRNE;visite2;"20-54-244-1-050T";"202441050";Enceinte militaire
DIRNE;visite2;"20-57-238-1-040T";"202381040";Enceinte militaire
DIRNE;visite2;"20-57-268-1-028T";"202681028";Bitche
DIRNE;visite2;"20-57-270-1-028T";"202701028";Bitche
DIRNE;visite2;"20-67-281-1-033T";"202811033";camp dOberhausen
DIRNE;visite2;"20-67-282-1-032T";"202821032";camp dOberhausen
DIRNO;nouveau;"25-18-181-1-136T";"251811136";polygone de bourges (dga)
DIRNO;nouveau;"25-56-064-1-137T";"250641137";camp de coetquidan
DIRNO;nouveau;"25-56-065-1-138T";"250651138";camp de coetquidan
DIRNO;visite2;"20-18-190-1-136T";"201901136";polygone de bourges (dga)
DIRNO;visite2;"20-37-135-1-145T";"201351145";Le Ruchard
DIRNO;visite2;"20-49-125-1-149T";"201251149";camp de fontevraud
DIRNO;visite2;"20-56-067-1-137T";"200671137";camp de coetquidan
DIRSE;nouveau;"25-13-297-1-236T";"252971236";camp de carpiagne
DIRSE;nouveau;"25-34-248-1-235T";"252481235";terrain militaire de cambous (viols-en-laval)
DIRSE;nouveau;"25-66-236-1-275T";"252361275";champ de manoeuvres de Rivesaltes
DIRSE;nouveau;"25-83-308-1-215T";"253081215";camp de canjuers
DIRSE;nouveau;"25-83-312-1-213T";"253121213";camp de canjuers
DIRSE;nouveau;"25-83-312-1-215T";"253121215";camp de canjuers
DIRSE;nouveau;"25-83-314-1-213T";"253141213";camp de canjuers
DIRSE;nouveau;"25-83-316-1-213T";"253161213";camp de canjuers
DIRSE;nouveau;"25-83-318-1-211T";"253181211";camp de canjuers
DIRSE;visite2;"20-34-250-1-234T";"202501234";terrain militaire de cambous (viols-en-laval)
DIRSE;visite2;"20-66-238-1-274T";"202381274";champ de manoeuvres de Rivesaltes
DIRSE;visite2;"20-83-312-1-234T";"203121234";la valette du var
DIRSE;visite2;"20-83-314-1-214T";"203141214";camp de canjuers
DIRSE;visite2;"20-83-316-1-214T";"203161214";camp de canjuers
DIRSO;nouveau;"20-33-145-1-250R";"201451250";champ de tir et polygone d'essais de captieux
DIRSO;nouveau;"25-23-189-1-180T";"251891180";Camp de La Courtine
DIRSO;nouveau;"25-23-190-1-181T";"251901181";Camp de La Courtine
DIRSO;nouveau;"25-23-191-1-182T";"251911182";Camp de La Courtine
DIRSO;nouveau;"25-33-126-1-233T";"251261233";camp de souge
DIRSO;nouveau;"25-33-145-1-252T";"251451252";champ de tir et polygone d'essais de captieux
DIRSO;nouveau;"25-40-121-1-252T";"251211252";centre dessai des landes (CEL)
DIRSO;nouveau;"25-40-121-1-256T";"251211256";centre dessai des landes (CEL)
DIRSO;nouveau;"25-40-122-1-253T";"251221253";centre dessai des landes (CEL)
DIRSO;nouveau;"25-40-122-1-255T";"251221255";centre dessai des landes (CEL)
DIRSO;nouveau;"25-40-122-1-257T";"251221257";centre dessai des landes (CEL)
DIRSO;nouveau;"25-40-123-1-256T";"251231256";centre dessai des landes (CEL)
DIRSO;nouveau;"25-40-142-1-251T";"251421251";champ de tir et polygone d'essais de captieux
DIRSO;nouveau;"25-40-143-1-252T";"251431252";champ de tir et polygone d'essais de captieux
DIRSO;nouveau;"25-40-144-1-253T";"251441253";champ de tir et polygone d'essais de captieux
DIRSO;nouveau;"25-82-193-1-234T";"251931234";camp de caylus
DIRSO;nouveau;"25-82-195-1-234T";"251951234";camp de caylus
DIRSO;visite2;"20-23-192-1-180T";"201921180";Camp de La Courtine
DIRSO;visite2;"20-23-193-1-181T";"201931181";Camp de La Courtine
DIRSO;visite2;"20-33-146-1-250T";"201461250";champ de tir et polygone d'essais de captieux
