"lotpi","npp","reco"
10,"26-01-244-1-137T",3
10,"26-01-250-1-143T",3
10,"26-01-250-1-147T",3
10,"26-01-254-1-147T",3
10,"26-01-258-1-143T",3
10,"26-01-260-1-149T",3
10,"26-01-272-1-129T",3
10,"26-02-176-1-033T",3
10,"26-02-176-1-041T",3
10,"26-02-186-1-027T",3
10,"26-03-184-1-157T",3
10,"26-03-194-1-147T",3
10,"26-03-194-1-155T",3
10,"26-03-198-1-147T",3
10,"26-03-198-1-151T",3
10,"26-03-202-1-147T",3
10,"26-03-204-1-153T",3
10,"26-04-294-1-207T",3
10,"26-04-298-1-203T",3
10,"26-07-254-1-187T",3
10,"26-09-194-1-275T",3
10,"26-11-208-1-265T",3
10,"26-11-216-1-273T",3
10,"26-12-200-1-221T",3
10,"26-12-210-1-231T",3
10,"26-12-214-1-207T",3
10,"26-12-216-1-229T",3
10,"26-12-218-1-227T",3
10,"26-12-220-1-233T",3
10,"26-12-222-1-227T",3
10,"26-12-222-1-239T",3
10,"26-12-226-1-223T",3
10,"26-12-226-1-227T",3
10,"26-12-228-1-221T",3
10,"26-13-272-1-221T",3
10,"26-13-282-1-223T",3
10,"26-14-086-1-087T",3
10,"26-14-086-1-099T",3
10,"26-14-088-1-101T",3
10,"26-14-090-1-087T",3
10,"26-14-090-1-095T",3
10,"26-14-092-1-089T",3
10,"26-14-094-1-083T",3
10,"26-14-094-1-087T",3
10,"26-14-096-1-093T",3
10,"26-14-104-1-085T",3
10,"26-14-108-1-077T",3
10,"26-15-198-1-191T",3
10,"26-15-200-1-201T",3
10,"26-15-202-1-203T",3
10,"26-15-214-1-195T",3
10,"26-15-216-1-201T",3
10,"26-16-134-1-199T",3
10,"26-16-142-1-187T",3
10,"26-16-150-1-183T",3
10,"26-17-124-1-201T",3
10,"26-17-128-1-213T",3
10,"26-17-132-1-213T",3
10,"26-18-178-1-147T",3
10,"26-18-180-1-149T",3
10,"26-18-184-1-149T",3
10,"26-18-184-1-153T",3
10,"26-18-190-1-139T",3
10,"26-18-190-1-143T",3
10,"26-18-196-1-137T",3
10,"26-19-180-1-189T",3
10,"26-19-180-1-201T",3
10,"26-19-184-1-189T",3
10,"26-19-190-1-191T",3
10,"26-19-194-1-183T",3
10,"26-19-196-1-181T",3
10,"26-21-218-1-115T",3
10,"26-21-220-1-109T",3
10,"26-21-226-1-115T",3
10,"26-21-228-1-117T",3
10,"26-21-230-1-095T",3
10,"26-21-232-1-121T",3
10,"26-22-030-1-119T",3
10,"26-22-032-1-133T",3
10,"26-22-034-1-131T",3
10,"26-22-036-1-113T",3
10,"26-22-036-1-117T",3
10,"26-22-038-1-123T",3
10,"26-22-048-1-129T",3
10,"26-22-050-1-127T",3
10,"26-22-056-1-133T",3
10,"26-22-058-1-115T",3
10,"26-22-058-1-131T",3
10,"26-22-064-1-121T",3
10,"26-22-064-1-125T",3
10,"26-23-176-1-165T",3
10,"26-23-180-1-161T",3
10,"26-23-184-1-161T",3
10,"26-23-186-1-167T",3
10,"26-23-188-1-161T",3
10,"26-23-190-1-167T",3
10,"26-24-162-1-227T",3
10,"26-24-166-1-215T",3
10,"26-24-170-1-207T",3
10,"26-24-172-1-221T",3
10,"26-25-256-1-105T",3
10,"26-25-260-1-101T",3
10,"26-25-264-1-097T",3
10,"26-27-116-1-077T",3
10,"26-27-118-1-075T",3
10,"26-27-126-1-091T",3
10,"26-27-130-1-067T",3
10,"26-28-136-1-109T",3
10,"26-28-144-1-097T",3
10,"26-29-008-1-133T",3
10,"26-29-010-1-147T",3
10,"26-29-014-1-147T",3
10,"26-29-016-1-137T",3
10,"26-29-022-1-131T",3
10,"26-29-026-1-131T",3
10,"26-29-028-1-137T",3
10,"26-29-030-1-139T",3
10,"26-29-030-1-143T",3
10,"26-29-032-1-145T",3
10,"26-29-034-1-147T",3
10,"26-30-260-1-217T",3
10,"26-31-180-1-273T",3
10,"26-31-182-1-279T",3
10,"26-31-182-1-291T",3
10,"26-31-186-1-255T",3
10,"26-32-162-1-267T",3
10,"26-32-166-1-263T",3
10,"26-32-170-1-271T",3
10,"26-33-136-1-233T",3
10,"26-33-148-1-233T",3
10,"26-34-234-1-251T",3
10,"26-34-236-1-249T",3
10,"26-34-248-1-241T",3
10,"26-35-062-1-115T",3
10,"26-35-064-1-129T",3
10,"26-35-066-1-111T",3
10,"26-35-066-1-127T",3
10,"26-35-072-1-129T",3
10,"26-35-072-1-137T",3
10,"26-35-072-1-145T",3
10,"26-35-074-1-119T",3
10,"26-35-080-1-141T",3
10,"26-35-082-1-115T",3
10,"26-35-082-1-135T",3
10,"26-35-084-1-133T",3
10,"26-35-086-1-135T",3
10,"26-35-088-1-129T",3
10,"26-35-088-1-137T",3
10,"26-36-154-1-159T",3
10,"26-36-160-1-161T",3
10,"26-36-162-1-163T",3
10,"26-36-168-1-161T",3
10,"26-36-172-1-157T",3
10,"26-36-174-1-151T",3
10,"26-36-176-1-153T",3
10,"26-36-180-1-157T",3
10,"26-37-134-1-139T",3
10,"26-38-254-1-171T",3
10,"26-38-258-1-155T",3
10,"26-38-262-1-159T",3
10,"26-38-266-1-159T",3
10,"26-38-280-1-181T",3
10,"26-39-248-1-113T",3
10,"26-39-250-1-107T",3
10,"26-39-250-1-111T",3
10,"26-39-258-1-123T",3
10,"26-42-222-1-155T",3
10,"26-42-232-1-153T",3
10,"26-42-234-1-163T",3
10,"26-42-242-1-171T",3
10,"26-43-236-1-197T",3
10,"26-44-068-1-153T",3
10,"26-44-068-1-157T",3
10,"26-44-074-1-163T",3
10,"26-44-076-1-149T",3
10,"26-44-076-1-161T",3
10,"26-44-078-1-143T",3
10,"26-44-080-1-157T",3
10,"26-44-080-1-165T",3
10,"26-44-084-1-149T",3
10,"26-44-090-1-147T",3
10,"26-44-090-1-151T",3
10,"26-44-094-1-147T",3
10,"26-44-094-1-151T",3
10,"26-44-094-1-159T",3
10,"26-46-184-1-221T",3
10,"26-46-186-1-211T",3
10,"26-46-198-1-215T",3
10,"26-47-156-1-229T",3
10,"26-47-158-1-231T",3
10,"26-47-162-1-243T",3
10,"26-47-164-1-229T",3
10,"26-47-170-1-247T",3
10,"26-48-232-1-205T",3
10,"26-48-234-1-199T",3
10,"26-49-094-1-139T",3
10,"26-49-096-1-153T",3
10,"26-49-100-1-157T",3
10,"26-49-102-1-143T",3
10,"26-49-102-1-147T",3
10,"26-49-102-1-151T",3
10,"26-49-102-1-159T",3
10,"26-49-104-1-149T",3
10,"26-49-104-1-157T",3
10,"26-49-110-1-147T",3
10,"26-49-110-1-151T",3
10,"26-49-112-1-153T",3
10,"26-49-114-1-155T",3
10,"26-49-122-1-135T",3
10,"26-49-122-1-139T",3
10,"26-50-062-1-079T",3
10,"26-50-066-1-079T",3
10,"26-50-068-1-077T",3
10,"26-50-068-1-085T",3
10,"26-50-070-1-079T",3
10,"26-50-072-1-081T",3
10,"26-50-072-1-085T",3
10,"26-50-074-1-107T",3
10,"26-50-076-1-085T",3
10,"26-50-076-1-089T",3
10,"26-50-076-1-097T",3
10,"26-50-078-1-087T",3
10,"26-50-078-1-091T",3
10,"26-50-078-1-095T",3
10,"26-50-080-1-097T",3
10,"26-50-082-1-091T",3
10,"26-50-082-1-095T",3
10,"26-50-082-1-103T",3
10,"26-50-084-1-093T",3
10,"26-50-086-1-107T",3
10,"26-51-192-1-049T",3
10,"26-51-208-1-045T",3
10,"26-51-212-1-057T",3
10,"26-52-240-1-085T",3
10,"26-52-246-1-079T",3
10,"26-53-088-1-117T",3
10,"26-53-090-1-111T",3
10,"26-53-090-1-119T",3
10,"26-53-090-1-135T",3
10,"26-53-092-1-117T",3
10,"26-53-096-1-121T",3
10,"26-53-096-1-125T",3
10,"26-53-096-1-133T",3
10,"26-53-098-1-123T",3
10,"26-53-104-1-105T",3
10,"26-53-104-1-113T",3
10,"26-53-106-1-123T",3
10,"26-53-108-1-109T",3
10,"26-53-108-1-113T",3
10,"26-55-214-1-031T",3
10,"26-55-220-1-053T",3
10,"26-56-044-1-145T",3
10,"26-56-050-1-147T",3
10,"26-56-052-1-153T",3
10,"26-56-060-1-149T",3
10,"26-56-062-1-139T",3
10,"26-56-062-1-151T",3
10,"26-57-254-1-043T",3
10,"26-58-192-1-125T",3
10,"26-58-200-1-113T",3
10,"26-58-200-1-137T",3
10,"26-58-202-1-119T",3
10,"26-58-204-1-125T",3
10,"26-58-206-1-139T",3
10,"26-58-208-1-113T",3
10,"26-58-208-1-137T",3
10,"26-58-210-1-131T",3
10,"26-58-210-1-135T",3
10,"26-59-134-1-007T",3
10,"26-59-158-1-011T",3
10,"26-59-170-1-023T",3
10,"26-59-174-1-023T",3
10,"26-59-176-1-021T",3
10,"26-59-176-1-025T",3
10,"26-59-182-1-023T",3
10,"26-60-140-1-061T",3
10,"26-61-092-1-101T",3
10,"26-61-094-1-107T",3
10,"26-61-098-1-099T",3
10,"26-61-100-1-097T",3
10,"26-61-102-1-095T",3
10,"26-61-104-1-101T",3
10,"26-61-112-1-105T",3
10,"26-61-114-1-099T",3
10,"26-61-114-1-103T",3
10,"26-61-118-1-103T",3
10,"26-61-120-1-097T",3
10,"26-61-122-1-103T",3
10,"26-61-126-1-103T",3
10,"26-62-126-1-011T",3
10,"26-62-130-1-007T",3
10,"26-62-136-1-021T",3
10,"26-63-196-1-165T",3
10,"26-63-196-1-169T",3
10,"26-63-206-1-163T",3
10,"26-63-206-1-167T",3
10,"26-63-208-1-181T",3
10,"26-63-230-1-175T",3
10,"26-64-130-1-287T",3
10,"26-64-144-1-285T",3
10,"26-65-174-1-279T",3
10,"26-66-230-1-283T",3
10,"26-67-278-1-047T",3
10,"26-69-256-1-161T",3
10,"26-70-244-1-097T",3
10,"26-70-248-1-081T",3
10,"26-70-250-1-083T",3
10,"26-70-250-1-087T",3
10,"26-70-268-1-085T",3
10,"26-71-214-1-139T",3
10,"26-71-224-1-129T",3
10,"26-71-226-1-135T",3
10,"26-71-226-1-143T",3
10,"26-71-228-1-121T",3
10,"26-71-228-1-129T",3
10,"26-71-228-1-133T",3
10,"26-71-228-1-141T",3
10,"26-71-228-1-145T",3
10,"26-71-230-1-135T",3
10,"26-71-236-1-129T",3
10,"26-71-238-1-131T",3
10,"26-71-240-1-121T",3
10,"26-72-110-1-123T",3
10,"26-72-112-1-129T",3
10,"26-72-114-1-111T",3
10,"26-72-118-1-115T",3
10,"26-72-122-1-111T",3
10,"26-72-124-1-113T",3
10,"26-72-128-1-117T",3
10,"26-73-280-1-157T",3
10,"26-76-108-1-069T",3
10,"26-76-112-1-061T",3
10,"26-76-122-1-059T",3
10,"26-76-132-1-053T",3
10,"26-76-134-1-055T",3
10,"26-77-170-1-075T",3
10,"26-77-178-1-091T",3
10,"26-78-138-1-075T",3
10,"26-78-144-1-077T",3
10,"26-78-150-1-079T",3
10,"26-79-112-1-157T",3
10,"26-79-120-1-173T",3
10,"26-79-122-1-187T",3
10,"26-79-124-1-169T",3
10,"26-79-128-1-185T",3
10,"26-79-130-1-187T",3
10,"26-79-132-1-177T",3
10,"26-80-134-1-047T",3
10,"26-80-144-1-033T",3
10,"26-81-206-1-255T",3
10,"26-82-182-1-251T",3
10,"26-83-304-1-225T",3
10,"26-85-080-1-173T",3
10,"26-85-082-1-171T",3
10,"26-85-084-1-173T",3
10,"26-85-086-1-171T",3
10,"26-85-094-1-175T",3
10,"26-85-096-1-165T",3
10,"26-85-096-1-177T",3
10,"26-85-100-1-177T",3
10,"26-85-102-1-171T",3
10,"26-85-102-1-175T",3
10,"26-85-102-1-179T",3
10,"26-85-104-1-177T",3
10,"26-85-106-1-163T",3
10,"26-85-106-1-167T",3
10,"26-85-108-1-169T",3
10,"26-85-110-1-175T",3
10,"26-85-112-1-177T",3
10,"26-85-112-1-181T",3
10,"26-85-114-1-183T",3
10,"26-86-144-1-157T",3
10,"26-86-148-1-165T",3
10,"26-86-148-1-173T",3
10,"26-86-150-1-175T",3
10,"26-86-152-1-177T",3
10,"26-87-156-1-173T",3
10,"26-87-164-1-189T",3
10,"26-87-172-1-185T",3
10,"26-87-174-1-183T",3
10,"26-87-174-1-187T",3
10,"26-87-176-1-189T",3
10,"26-88-246-1-071T",3
10,"26-88-248-1-061T",3
10,"26-88-248-1-073T",3
10,"26-88-270-1-055T",3
10,"26-89-188-1-109T",3
10,"26-89-194-1-103T",3
10,"26-89-194-1-107T",3
10,"26-89-212-1-109T",3
10,"26-90-276-1-081T",3
10,"26-94-164-1-077T",3
11,"26-83-318-1-237T",3
12,"26-09-192-1-289T",3
12,"26-09-194-1-287T",3
12,"26-09-204-1-289T",3
12,"26-11-240-1-265T",3
12,"26-13-266-1-237T",3
12,"26-13-270-1-237T",3
12,"26-13-278-1-237T",3
12,"26-2A-358-1-239T",3
12,"26-2B-348-1-233T",3
12,"26-2B-350-1-231T",3
12,"26-2B-352-1-233T",3
12,"26-2B-356-1-237T",3
12,"26-30-264-1-237T",3
12,"26-31-188-1-289T",3
12,"26-38-284-1-165T",3
12,"26-66-214-1-291T",3
13,"26-02-170-1-033T",3
13,"26-02-182-1-035T",3
13,"26-03-203-1-152T",3
13,"26-03-212-1-157T",3
13,"26-10-191-1-080T",3
13,"26-15-205-1-192T",3
13,"26-15-223-1-200T",3
13,"26-16-134-1-207T",3
13,"26-16-148-1-185T",3
13,"26-16-152-1-195T",3
13,"26-17-117-1-204T",3
13,"26-17-140-1-215T",3
13,"26-19-174-1-203T",3
13,"26-21-232-1-117T",3
13,"26-21-236-1-101T",3
13,"26-22-031-1-122T",3
13,"26-22-036-1-125T",3
13,"26-22-043-1-116T",3
13,"26-23-171-1-166T",3
13,"26-23-185-1-164T",3
13,"26-24-162-1-203T",3
13,"26-24-172-1-223T",3
13,"26-25-266-1-109T",3
13,"26-25-268-1-103T",3
13,"26-27-118-1-073T",3
13,"26-29-018-1-125T",3
13,"26-29-025-1-130T",3
13,"26-32-173-1-254T",3
13,"26-33-138-1-231T",3
13,"26-37-128-1-143T",3
13,"26-37-136-1-141T",3
13,"26-38-267-1-158T",3
13,"26-41-140-1-115T",3
13,"26-42-227-1-156T",3
13,"26-42-237-1-166T",3
13,"26-47-164-1-237T",3
13,"26-48-240-1-201T",3
13,"26-49-106-1-155T",3
13,"26-52-235-1-092T",3
13,"26-52-237-1-088T",3
13,"26-53-089-1-112T",3
13,"26-53-094-1-113T",3
13,"26-53-100-1-123T",3
13,"26-54-252-1-053T",3
13,"26-55-230-1-045T",3
13,"26-59-172-1-025T",3
13,"26-63-209-1-176T",3
13,"26-63-221-1-180T",3
13,"26-64-152-1-287T",3
13,"26-65-164-1-283T",3
13,"26-69-238-1-157T",3
13,"26-70-252-1-083T",3
13,"26-71-235-1-132T",3
13,"26-79-122-1-177T",3
13,"26-80-130-1-035T",3
13,"26-80-136-1-041T",3
13,"26-81-207-1-244T",3
13,"26-81-211-1-256T",3
13,"26-81-214-1-255T",3
13,"26-84-278-1-215T",3
13,"26-84-286-1-221T",3
13,"26-85-090-1-183T",3
13,"26-85-091-1-178T",3
13,"26-85-100-1-183T",3
13,"26-86-145-1-156T",3
13,"26-88-246-1-069T",3
13,"26-88-249-1-068T",3
15,"21-03-206-1-155R",3
15,"21-04-308-1-209R",3
15,"21-05-292-1-185R",3
15,"21-05-310-1-175R",3
15,"21-09-194-1-287R",3
15,"21-12-206-1-223R",3
15,"21-12-206-1-227R",3
15,"21-13-268-1-235R",3
15,"21-15-210-1-201R",3
15,"21-27-140-1-065R",3
15,"21-29-010-1-147R",3
15,"21-29-022-1-133R",3
15,"21-29-024-1-131R",3
15,"21-2A-359-1-249R",3
15,"21-2A-361-1-247R",3
15,"21-2B-343-1-227R",3
15,"21-2B-347-1-225R",3
15,"21-2B-349-1-225R",3
15,"21-2B-351-1-221R",3
15,"21-2B-353-1-221R",3
15,"21-2B-353-1-223R",3
15,"21-2B-363-1-245R",3
15,"21-30-266-1-235R",3
15,"21-38-280-1-169R",3
15,"21-38-286-1-171R",3
15,"21-57-264-1-041R",3
15,"21-66-214-1-291R",3
15,"21-66-224-1-293R",3
15,"21-66-244-1-277R",3
15,"21-73-288-1-141R",3
